name	 | shuffle	 | elements 	| duration_ms	 | p_duration_s	 | p_duration_ns	 | memory	
name	 | shuffle	 | elements 	| duration_ms	 | p_duration_s	 | p_duration_ns	 | memory	
-----	 | -----	 | ----- 	| -----	 | -----	 | -----	 | -----	
sort	|	|10000	|3	|	|	|	|
sort	|	|20000	|6	|	|	|	|
sort	|	|30000	|12	|	|	|	|
sort	|	|40000	|16	|	|	|	|
sort	|	|50000	|23	|	|	|	|
sort	|	|60000	|24	|	|	|	|
sort	|	|70000	|27	|	|	|	|
sort	|	|80000	|30	|	|	|	|
sort	|	|90000	|34	|	|	|	|
sort	|	|100000	|39	|	|	|	|
sort	|	|110000	|43	|	|	|	|
sort	|	|120000	|47	|	|	|	|
sort	|	|130000	|52	|	|	|	|
sort	|	|140000	|56	|	|	|	|
sort	|	|150000	|61	|	|	|	|
sort	|	|160000	|65	|	|	|	|
sort	|	|170000	|69	|	|	|	|
sort	|	|180000	|73	|	|	|	|
sort	|	|190000	|78	|	|	|	|
sort	|	|200000	|82	|	|	|	|
sort	|	|210000	|86	|	|	|	|
sort	|	|220000	|92	|	|	|	|
sort	|	|230000	|97	|	|	|	|
sort	|	|240000	|100	|	|	|	|
sort	|	|250000	|105	|	|	|	|
sort	|	|260000	|109	|	|	|	|
sort	|	|270000	|115	|	|	|	|
sort	|	|280000	|121	|	|	|	|
sort	|	|290000	|125	|	|	|	|
sort	|	|300000	|130	|	|	|	|
sort	|	|310000	|135	|	|	|	|
sort	|	|320000	|136	|	|	|	|
sort	|	|330000	|142	|	|	|	|
sort	|	|340000	|145	|	|	|	|
sort	|	|350000	|153	|	|	|	|
sort	|	|360000	|157	|	|	|	|
sort	|	|370000	|162	|	|	|	|
sort	|	|380000	|165	|	|	|	|
sort	|	|390000	|171	|	|	|	|
sort	|	|400000	|176	|	|	|	|
sort	|	|410000	|180	|	|	|	|
sort	|	|420000	|184	|	|	|	|
sort	|	|430000	|193	|	|	|	|
sort	|	|440000	|195	|	|	|	|
sort	|	|450000	|199	|	|	|	|
sort	|	|460000	|202	|	|	|	|
sort	|	|470000	|209	|	|	|	|
sort	|	|480000	|214	|	|	|	|
sort	|	|490000	|219	|	|	|	|
sort	|	|500000	|221	|	|	|	|
sort	|	|510000	|226	|	|	|	|
sort	|	|520000	|231	|	|	|	|
sort	|	|530000	|235	|	|	|	|
sort	|	|540000	|240	|	|	|	|
sort	|	|550000	|246	|	|	|	|
sort	|	|560000	|262	|	|	|	|
sort	|	|570000	|345	|	|	|	|
sort	|	|580000	|312	|	|	|	|
sort	|	|590000	|397	|	|	|	|
sort	|	|600000	|278	|	|	|	|
sort	|	|610000	|273	|	|	|	|
sort	|	|620000	|282	|	|	|	|
sort	|	|630000	|286	|	|	|	|
sort	|	|640000	|289	|	|	|	|
sort	|	|650000	|293	|	|	|	|
sort	|	|660000	|300	|	|	|	|
sort	|	|670000	|308	|	|	|	|
sort	|	|680000	|311	|	|	|	|
sort	|	|690000	|311	|	|	|	|
sort	|	|700000	|317	|	|	|	|
sort	|	|710000	|359	|	|	|	|
sort	|	|720000	|376	|	|	|	|
sort	|	|730000	|411	|	|	|	|
sort	|	|740000	|355	|	|	|	|
sort	|	|750000	|349	|	|	|	|
sort	|	|760000	|517	|	|	|	|
sort	|	|770000	|558	|	|	|	|
sort	|	|780000	|413	|	|	|	|
sort	|	|790000	|397	|	|	|	|
sort	|	|800000	|561	|	|	|	|
sort	|	|810000	|626	|	|	|	|
sort	|	|820000	|420	|	|	|	|
sort	|	|830000	|415	|	|	|	|
sort	|	|840000	|420	|	|	|	|
sort	|	|850000	|420	|	|	|	|
sort	|	|860000	|466	|	|	|	|
sort	|	|870000	|493	|	|	|	|
sort	|	|880000	|449	|	|	|	|
sort	|	|890000	|486	|	|	|	|
sort	|	|900000	|484	|	|	|	|
sort	|	|910000	|486	|	|	|	|
sort	|	|920000	|459	|	|	|	|
sort	|	|930000	|455	|	|	|	|
sort	|	|940000	|588	|	|	|	|
sort	|	|950000	|476	|	|	|	|
sort	|	|960000	|485	|	|	|	|
sort	|	|970000	|484	|	|	|	|
sort	|	|980000	|486	|	|	|	|
sort	|	|990000	|497	|	|	|	|
sort	|	|1000000	|522	|	|	|	|
sort	|	|1010000	|1055	|	|	|	|
sort	|	|1020000	|1192	|	|	|	|
sort	|	|1030000	|1206	|	|	|	|
sort	|	|1040000	|848	|	|	|	|
sort	|	|1050000	|587	|	|	|	|
sort	|	|1060000	|556	|	|	|	|
sort	|	|1070000	|545	|	|	|	|
sort	|	|1080000	|540	|	|	|	|
sort	|	|1090000	|542	|	|	|	|
sort	|	|1100000	|542	|	|	|	|
sort	|	|1110000	|529	|	|	|	|
sort	|	|1120000	|538	|	|	|	|
sort	|	|1130000	|535	|	|	|	|
sort	|	|1140000	|551	|	|	|	|
sort	|	|1150000	|547	|	|	|	|
name	 | shuffle	 | elements 	| duration_ms	 | p_duration_s	 | p_duration_ns	 | memory	
-----	 | -----	 | ----- 	| -----	 | -----	 | -----	 | -----	
sort	|	|10000	|3	|	|	|	|
sort	|	|20000	|7	|	|	|	|
sort	|	|30000	|11	|	|	|	|
sort	|	|40000	|15	|	|	|	|
sort	|	|50000	|18	|	|	|	|
sort	|	|60000	|23	|	|	|	|
sort	|	|70000	|27	|	|	|	|
sort	|	|80000	|37	|	|	|	|
sort	|	|90000	|44	|	|	|	|
sort	|	|100000	|42	|	|	|	|
sort	|	|110000	|47	|	|	|	|
sort	|	|120000	|52	|	|	|	|
sort	|	|130000	|57	|	|	|	|
sort	|	|140000	|65	|	|	|	|
sort	|	|150000	|71	|	|	|	|
sort	|	|160000	|76	|	|	|	|
sort	|	|170000	|79	|	|	|	|
sort	|	|180000	|78	|	|	|	|
sort	|	|190000	|83	|	|	|	|
sort	|	|200000	|91	|	|	|	|
sort	|	|210000	|90	|	|	|	|
sort	|	|220000	|95	|	|	|	|
sort	|	|230000	|98	|	|	|	|
sort	|	|240000	|103	|	|	|	|
sort	|	|250000	|108	|	|	|	|
sort	|	|260000	|111	|	|	|	|
sort	|	|270000	|116	|	|	|	|
sort	|	|280000	|121	|	|	|	|
sort	|	|290000	|125	|	|	|	|
sort	|	|300000	|131	|	|	|	|
sort	|	|310000	|140	|	|	|	|
sort	|	|320000	|138	|	|	|	|
sort	|	|330000	|142	|	|	|	|
sort	|	|340000	|147	|	|	|	|
sort	|	|350000	|155	|	|	|	|
sort	|	|360000	|157	|	|	|	|
sort	|	|370000	|203	|	|	|	|
sort	|	|380000	|185	|	|	|	|
sort	|	|390000	|189	|	|	|	|
sort	|	|400000	|199	|	|	|	|
sort	|	|410000	|202	|	|	|	|
sort	|	|420000	|205	|	|	|	|
sort	|	|430000	|210	|	|	|	|
sort	|	|440000	|213	|	|	|	|
sort	|	|450000	|205	|	|	|	|
sort	|	|460000	|210	|	|	|	|
sort	|	|470000	|215	|	|	|	|
sort	|	|480000	|222	|	|	|	|
sort	|	|490000	|224	|	|	|	|
sort	|	|500000	|230	|	|	|	|
sort	|	|510000	|236	|	|	|	|
sort	|	|520000	|240	|	|	|	|
sort	|	|530000	|242	|	|	|	|
sort	|	|540000	|249	|	|	|	|
sort	|	|550000	|254	|	|	|	|
sort	|	|560000	|261	|	|	|	|
sort	|	|570000	|264	|	|	|	|
sort	|	|580000	|277	|	|	|	|
sort	|	|590000	|279	|	|	|	|
sort	|	|600000	|284	|	|	|	|
sort	|	|610000	|285	|	|	|	|
sort	|	|620000	|292	|	|	|	|
sort	|	|630000	|301	|	|	|	|
sort	|	|640000	|301	|	|	|	|
sort	|	|650000	|305	|	|	|	|
sort	|	|660000	|312	|	|	|	|
sort	|	|670000	|317	|	|	|	|
sort	|	|680000	|322	|	|	|	|
sort	|	|690000	|327	|	|	|	|
sort	|	|700000	|379	|	|	|	|
sort	|	|710000	|414	|	|	|	|
sort	|	|720000	|363	|	|	|	|
sort	|	|730000	|355	|	|	|	|
sort	|	|740000	|355	|	|	|	|
sort	|	|750000	|368	|	|	|	|
sort	|	|760000	|371	|	|	|	|
sort	|	|770000	|371	|	|	|	|
sort	|	|780000	|375	|	|	|	|
sort	|	|790000	|380	|	|	|	|
sort	|	|800000	|445	|	|	|	|
sort	|	|810000	|402	|	|	|	|
sort	|	|820000	|400	|	|	|	|
sort	|	|830000	|401	|	|	|	|
sort	|	|840000	|408	|	|	|	|
sort	|	|850000	|410	|	|	|	|
sort	|	|860000	|415	|	|	|	|
sort	|	|870000	|423	|	|	|	|
sort	|	|880000	|426	|	|	|	|
sort	|	|890000	|440	|	|	|	|
sort	|	|900000	|437	|	|	|	|
sort	|	|910000	|444	|	|	|	|
sort	|	|920000	|446	|	|	|	|
sort	|	|930000	|450	|	|	|	|
sort	|	|940000	|794	|	|	|	|
sort	|	|950000	|1099	|	|	|	|
sort	|	|960000	|971	|	|	|	|
sort	|	|970000	|820	|	|	|	|
sort	|	|980000	|791	|	|	|	|
sort	|	|990000	|459	|	|	|	|
sort	|	|1000000	|480	|	|	|	|
sort	|	|1010000	|483	|	|	|	|
sort	|	|1020000	|561	|	|	|	|
sort	|	|1030000	|607	|	|	|	|
sort	|	|1040000	|616	|	|	|	|
sort	|	|1050000	|603	|	|	|	|
sort	|	|1060000	|635	|	|	|	|
sort	|	|1070000	|641	|	|	|	|
sort	|	|1080000	|641	|	|	|	|
sort	|	|1090000	|660	|	|	|	|
sort	|	|1100000	|685	|	|	|	|
sort	|	|1110000	|700	|	|	|	|
sort	|	|1120000	|712	|	|	|	|
sort	|	|1130000	|746	|	|	|	|
sort	|	|1140000	|759	|	|	|	|
sort	|	|1150000	|778	|	|	|	|
sort	|	|1160000	|811	|	|	|	|
sort	|	|1170000	|760	|	|	|	|
sort	|	|1180000	|717	|	|	|	|
sort	|	|1190000	|687	|	|	|	|
sort	|	|1200000	|668	|	|	|	|
sort	|	|1210000	|663	|	|	|	|
sort	|	|1220000	|658	|	|	|	|
sort	|	|1230000	|671	|	|	|	|
sort	|	|1240000	|672	|	|	|	|
sort	|	|1250000	|679	|	|	|	|
sort	|	|1260000	|682	|	|	|	|
sort	|	|1270000	|723	|	|	|	|
sort	|	|1280000	|767	|	|	|	|
sort	|	|1290000	|804	|	|	|	|
sort	|	|1300000	|853	|	|	|	|
sort	|	|1310000	|883	|	|	|	|
sort	|	|1320000	|818	|	|	|	|
sort	|	|1330000	|754	|	|	|	|
sort	|	|1340000	|710	|	|	|	|
sort	|	|1350000	|677	|	|	|	|
sort	|	|1360000	|678	|	|	|	|
sort	|	|1370000	|680	|	|	|	|
sort	|	|1380000	|683	|	|	|	|
sort	|	|1390000	|692	|	|	|	|
sort	|	|1400000	|697	|	|	|	|
sort	|	|1410000	|701	|	|	|	|
sort	|	|1420000	|703	|	|	|	|
sort	|	|1430000	|713	|	|	|	|
sort	|	|1440000	|718	|	|	|	|
sort	|	|1450000	|731	|	|	|	|
sort	|	|1460000	|747	|	|	|	|
sort	|	|1470000	|742	|	|	|	|
sort	|	|1480000	|743	|	|	|	|
sort	|	|1490000	|748	|	|	|	|
sort	|	|1500000	|754	|	|	|	|
sort	|	|1510000	|761	|	|	|	|
sort	|	|1520000	|766	|	|	|	|
sort	|	|1530000	|771	|	|	|	|
sort	|	|1540000	|776	|	|	|	|
sort	|	|1550000	|783	|	|	|	|
sort	|	|1560000	|787	|	|	|	|
sort	|	|1570000	|793	|	|	|	|
sort	|	|1580000	|794	|	|	|	|
sort	|	|1590000	|799	|	|	|	|
sort	|	|1600000	|811	|	|	|	|
sort	|	|1610000	|880	|	|	|	|
sort	|	|1620000	|946	|	|	|	|
sort	|	|1630000	|991	|	|	|	|
sort	|	|1640000	|1059	|	|	|	|
sort	|	|1650000	|1096	|	|	|	|
sort	|	|1660000	|1020	|	|	|	|
sort	|	|1670000	|912	|	|	|	|
sort	|	|1680000	|851	|	|	|	|
sort	|	|1690000	|819	|	|	|	|
sort	|	|1700000	|817	|	|	|	|
sort	|	|1710000	|817	|	|	|	|
sort	|	|1720000	|826	|	|	|	|
sort	|	|1730000	|835	|	|	|	|
sort	|	|1740000	|843	|	|	|	|
sort	|	|1750000	|846	|	|	|	|
sort	|	|1760000	|853	|	|	|	|
sort	|	|1770000	|863	|	|	|	|
sort	|	|1780000	|860	|	|	|	|
sort	|	|1790000	|870	|	|	|	|
sort	|	|1800000	|872	|	|	|	|
sort	|	|1810000	|880	|	|	|	|
sort	|	|1820000	|882	|	|	|	|
sort	|	|1830000	|886	|	|	|	|
sort	|	|1840000	|895	|	|	|	|
sort	|	|1850000	|901	|	|	|	|
sort	|	|1860000	|905	|	|	|	|
sort	|	|1870000	|910	|	|	|	|
sort	|	|1880000	|925	|	|	|	|
sort	|	|1890000	|994	|	|	|	|
sort	|	|1900000	|1072	|	|	|	|
sort	|	|1910000	|1165	|	|	|	|
sort	|	|1920000	|1238	|	|	|	|
sort	|	|1930000	|1321	|	|	|	|
sort	|	|1940000	|1315	|	|	|	|
sort	|	|1950000	|1142	|	|	|	|
sort	|	|1960000	|1029	|	|	|	|
sort	|	|1970000	|973	|	|	|	|
sort	|	|1980000	|960	|	|	|	|
sort	|	|1990000	|974	|	|	|	|
sort	|	|2000000	|977	|	|	|	|
sort	|	|2010000	|991	|	|	|	|
sort	|	|2020000	|988	|	|	|	|
sort	|	|2030000	|982	|	|	|	|
sort	|	|2040000	|997	|	|	|	|
sort	|	|2050000	|1007	|	|	|	|
sort	|	|2060000	|1003	|	|	|	|
sort	|	|2070000	|1009	|	|	|	|
sort	|	|2080000	|1037	|	|	|	|
sort	|	|2090000	|1013	|	|	|	|
sort	|	|2100000	|1027	|	|	|	|
sort	|	|2110000	|1033	|	|	|	|
sort	|	|2120000	|1029	|	|	|	|
sort	|	|2130000	|1036	|	|	|	|
sort	|	|2140000	|1112	|	|	|	|
sort	|	|2150000	|1226	|	|	|	|
sort	|	|2160000	|1346	|	|	|	|
sort	|	|2170000	|1434	|	|	|	|
sort	|	|2180000	|1515	|	|	|	|
sort	|	|2190000	|1400	|	|	|	|
sort	|	|2200000	|1213	|	|	|	|
sort	|	|2210000	|1113	|	|	|	|
sort	|	|2220000	|1080	|	|	|	|
sort	|	|2230000	|1113	|	|	|	|
sort	|	|2240000	|1091	|	|	|	|
sort	|	|2250000	|1107	|	|	|	|
sort	|	|2260000	|1101	|	|	|	|
sort	|	|2270000	|1108	|	|	|	|
sort	|	|2280000	|1121	|	|	|	|
sort	|	|2290000	|1122	|	|	|	|
sort	|	|2300000	|1125	|	|	|	|
sort	|	|2310000	|1135	|	|	|	|
sort	|	|2320000	|1143	|	|	|	|
sort	|	|2330000	|1146	|	|	|	|
sort	|	|2340000	|1147	|	|	|	|
sort	|	|2350000	|1155	|	|	|	|
sort	|	|2360000	|1157	|	|	|	|
sort	|	|2370000	|1155	|	|	|	|
sort	|	|2380000	|1170	|	|	|	|
sort	|	|2390000	|1180	|	|	|	|
sort	|	|2400000	|1199	|	|	|	|
sort	|	|2410000	|1324	|	|	|	|
sort	|	|2420000	|1471	|	|	|	|
sort	|	|2430000	|1587	|	|	|	|
sort	|	|2440000	|1616	|	|	|	|
sort	|	|2450000	|1374	|	|	|	|
sort	|	|2460000	|1250	|	|	|	|
sort	|	|2470000	|1209	|	|	|	|
sort	|	|2480000	|1220	|	|	|	|
sort	|	|2490000	|1229	|	|	|	|
sort	|	|2500000	|1232	|	|	|	|
sort	|	|2510000	|1236	|	|	|	|
sort	|	|2520000	|1240	|	|	|	|
sort	|	|2530000	|1254	|	|	|	|
sort	|	|2540000	|1256	|	|	|	|
sort	|	|2550000	|1264	|	|	|	|
sort	|	|2560000	|1266	|	|	|	|
sort	|	|2570000	|1271	|	|	|	|
